title,reviewer 1,reviewer 2
Decision-making for mitigating wildlife diseases: From theory to practice for an emerging fungal pathogen of amphibians,Abby Keller,Maya Zomer
Multi-objective spatial optimization of pond system for diffuse pollution control of paddy field watershed in the middle reaches of the Yangtze River,Abby Keller,Kaila Frazer
Transportation planning and quiet natural areas preservation: Aircraft overflights noise assessment in a National Park,Abby Keller,Alison Gerken
Toward Sustainable Groundwater Management: A Comprehensive Framework for Resource Protection and Utilization,Abby Keller,Collin VanBuren
Moving forward: insights and applications of moving-habitat models for climate change ecology,Abby Keller,Cassie Speakman
"Fishermen's Preferences for Ecological Policies and Behavior Analysis: A Case Study of Weihai City, China",Abby Keller,Jody Peters
Expert-Based Maps as a Regional Planning Tool Supporting Nature Conservation and Production-Integrated Compensation-A German Case Study on Biodiversity Offsets,Abby Keller,Chris Jones
Planning for renewable energy without conflict: the potential of using sensitivity mapping as a decision-support tool,Abby Keller,Jody Peters
"An agent-based model of elephant crop raid dynamics in the Periyar-Agasthyamalai complex, India",Abby Keller,Judith Toms
Evaluation of Water Resources Carrying Capacity and Analysis of Influencing Factors in China's Major Grain-Producing Areas Based on Machine Learning,Abby Keller,Chris Jones
Addressing distribution equity in spatial conservation prioritization for small-scale fisheries,Jody Peters,Charlotte Malmborg
Predicting Brook Trout Occurrence in Stream Reaches throughout their Native Range in the Eastern United States,Abby Keller,Charlotte Malmborg
Research on land resource management integrated with support vector machine -Based on the perspective of green innovation,Judith Toms,Collin VanBuren
Validation of an agricultural non-point source model in a watershed in southern Ontario,Abby Keller,Prabhjot Singh
Land cover change of arid environment in Tunisia based on analysis of Landsat images,Jody Peters,Collin VanBuren
Identifying threats to Pyrenean brook newt (Calotriton asper) to improve decision making in conservation management: A literature review complemented by expert-driven knowledge,Abby Keller,Prabhjot Singh
SAA-YOLO: A scale-aware attention enhanced YOLOv10 for UAV-based detection of medicinal plant Phlomoides rotata in alpine grasslands,Abby Keller,Chris Jones
HY:CON: A STRATEGIC TOOL FOR BALANCING HYDROPOWER DEVELOPMENT AND CONSERVATION NEEDS,Abby Keller,Yishen Li
Sensitivity analysis for multi-attribute project selection problems,Abby Keller,Jody Peters
Modelling the breeding habitat of the Great Reed Warbler (Acrocephalus arundinaceus L.) as part of an integrative lake shore management system,Jody Peters,Amy Kendig
Translating a species distribution model into management recommendations for an at-risk lichen,Jody Peters,Gerbrand Koren
"Assessing the role of agri-environmental measures to enhance the environment in the Veneto Region, Italy, with a model-based approach",Kaila Frazer,Judith Toms
Prioritizing forest management actions to benefit marine habitats in data-poor regions,Abby Keller,Cassie Speakman
Biodiversity potential of Nothofagus forests in Tierra del Fuego (Argentina): tool proposal for regional conservation planning,Abby Keller,Charlotte Malmborg
A multidisciplinary approach in the design of marine protected areas: Integration of science and stakeholder based methods,Jody Peters,Snigdha Nautiyal
Spatiotemporal variation of habitat quality and its response to fractional vegetation cover change and human disturbance in the Loess Plateau,Jody Peters,Charlotte Malmborg
"Integrated geographical information system (GIS)-based decision support system (DSS) approach to identify the site-specific water conservation structures in a watershed of Nagpur district, Central India",Collin VanBuren,Charlotte Malmborg
Fuzzy AHP Based Multi Crteria Decision Support for Watershed Prioritization,alexis ocallahan,Chris Jones
A systematic approach for assessing spatially and temporally differentiated opportunity costs of biodiversity conservation measures in grasslands,Abby Keller,Manuel Duenas
Challenges in global ballast water management,Abby Keller,Manuel Duenas
Research on forest fire prevention decision-making platform based on 3S integrated technology,Abby Keller,Alison Gerken
Ecosystem service tradeoff and synergy mechanisms in the Central Asian terminal lake basin based on Bayesian Networks,Abby Keller,Charlotte Malmborg
Evaluating the present and future distribution of an endemic oak species (Quercus afares) under climate change in Algeria,Abby Keller,Charlotte Malmborg
Predictive soil health economic calculator (P-SHEC): A decision support tool for evaluating the economic impacts of soil health practice adoption,alexis ocallahan,Chris Jones
SWAT vs. RUSLE: Which better predicts benthic habitat condition?,Abby Keller,alexis ocallahan
"Novel methods for spatial prioritization with applications in conservation, land use planning and ecological impact avoidance",Abby Keller,Snigdha Nautiyal
Sustaining the Joint Production of Timber and Lactarius Mushroom: A Case Study of a Forest Management Planning Unit in Northwestern Turkey,Abby Keller,Charlotte Malmborg
An ecological framework for informing permitting decisions on scientific activities in protected areas,Abby Keller,Gerbrand Koren
A GIS-AHP-Based Spatial Decision Support System for Optimising Harvesting and Wood System Selection in the Chestnut Coppice Stands of Central Italy,Abby Keller,Alison Gerken
Efficiency and concordance of alternative methods for minimizing opportunity costs in conservation planning,Abby Keller,Jody Peters
Introducing Spatio-Temporal Conservation Units: Models for Flexible Optimization of Species Persistence Under Climate Change,Abby Keller,Snigdha Nautiyal
EPIC - AN OPERATIONAL MODEL FOR EVALUATION OF AGRICULTURAL SUSTAINABILITY,Judith Toms,alexis ocallahan
Operationalizing ecological connectivity in spatial conservation planning with Marxan Connect,Alison Gerken,Abby Keller
Environmental sustainability assessment of rice management practices using decision support tools,Judith Toms,Manuel Duenas
Mapping watershed wetness dynamics and prioritizing potential agricultural land for wetland conservation programs in Nebraska,Abby Keller,Judith Toms
Planning energy retrofit on historic building stocks: A score-driven decision support system,Judith Toms,alexis ocallahan
An example of how to build conservation evidence from case studies: Fire and raking to enhance Pulsatilla vernalis populations,Abby Keller,Judith Toms
Soil erosion vulnerability under scenarios of climate land-use changes after the development of a large reservoir in a semi-arid area,Judith Toms,alexis ocallahan
Environmental Assessment of Central European Floodplain Forests: A Case Study from the Morava River Alluvium,Abby Keller,Jody Peters
Influence of adaptive capacity on the outcome of climate change vulnerability assessment,Abby Keller,Jody Peters
"Beyond expert opinion: A scalable, data-driven model for habitat quality assessment",Abby Keller,Judith Toms
"Mangrove mapping using Sentinel-1 data for improved decision support on sustainable conservation and restoration interventions in the Keta Lagoon Complex Ramsar Site, Ghana",Abby Keller,Kaila Frazer
Balancing multiple sustainability objectives in feedstock cultivation: a case of Pongamia pinnata in Australia,Abby Keller,Charlotte Malmborg
Impact of economically targeted conservation delivery on farming net revenue across a range of commodity prices,Abby Keller,Chris Jones
Automatic detection of in-stream river wood from random forest machine learning and exogenous indices using very high-resolution aerial imagery,Abby Keller,Yishen Li
Examining the impact of rangeland condition on water conservation by using an integrated modelling approach,Abby Keller,Collin VanBuren
PARMS: A decision support system for planting and residue management,Collin VanBuren,Abby Keller
"Fire refugia in forest ecosystems of the Pacific Northwest, USA: Science and applications for conservation, adaptation, and stewardship",Abby Keller,Judith Toms
A proposed decision support tool for prioritising conservation planning of Southeast Asian seagrass meadows: combined approaches based on ecosystem services and vulnerability analyses,Abby Keller,Charlotte Malmborg
Land user participation in developing a computerised decision support system for combating desertification,Alison Gerken,Abby Keller
"Using values-informed mental models to understand farmer, water manager, and scientist use and perceptions of hydrologic models",Collin VanBuren,Amy Kendig
Machine Learning-Based Threatened Species Translocation Under Climate Vulnerability,Abby Keller,Jody Peters
Increasing the potential of prescribed burning for the biodiversity conservation of European grasslands,Abby Keller,Maya Zomer
Moisture content evaluation of biomass using CFD approach,Abby Keller,Jody Peters
Using geovisual analytics to enrich conservation science: a review of interactive visualization of wildlife and environmental spatial data across ecosystems,Abby Keller,Manuel Duenas
Mapping Factors That Contribute to Coral Reef Resilience Using In situ and Satellite Data in East Africa,Abby Keller,Maya Zomer
Incorporating zoning and socioeconomic costs in planning for bird conservation,Charlotte Malmborg,Abby Keller
Importance of oceanographical background for a conservation priority areas network planned using MARXAN decision support tool in the Russian Arctic seas,Jody Peters,Abby Keller
"Lessons for PPGIS from the application of a decision-support tool in the Nova Forest Alliance of Nova Scotia, Canada",Abby Keller,Alison Gerken
A Decision Support Tool for Green Infrastructure Planning in the Face of Rapid Urbanization,Abby Keller,Charlotte Malmborg
GIS-Based multicriteria evaluation and fuzzy sets to identify priority sites for marine protection,Jody Peters,Gerbrand Koren
A software tool for designing cost-effective compensation payments for conservation measures,Abby Keller,Jody Peters
"Marine biodiversity conservation based on integrated coastal zone management (ICZM)-A case study in Quanzhou Bay, Fujian, China",Abby Keller,Alison Gerken
Advancing Systematic Conservation Planning for Ecosystem Services,Abby Keller,Prabhjot Singh
"Population dynamics of a desert riverine turtle, Pseudemys gorzugi, at the northern edge of its range",Abby Keller,Jody Peters
A decision support tool for evaluating the wildlife corridor design and conservation performance using analytic network process (ANP),Jody Peters,Charlotte Malmborg
Planning site-specific water-demand management strategies,Abby Keller,Alison Gerken
Marxan with Zones: Software for optimal conservation based land- and sea-use zoning,Abby Keller,Gerbrand Koren
The ethics of intervening in animal behaviour for conservation,Abby Keller,Collin VanBuren
How much and at what scale? Multiscale analyses as decision support for conservation of saproxylic oak beetles,Abby Keller,Jody Peters
Welcome to the new frontier: Introducing Extension to the next generation of conservation planning tools,Abby Keller,alexis ocallahan
Identifying Consensus on Coastal Lagoons Ecosystem Services and Conservation Priorities for an Effective Decision Making: A Q Approach,Abby Keller,Snigdha Nautiyal
THE CLIMATE-SMART MANGROVE DECISION-SUPPORT TOOL: HELPING MANGROVE PRACTITIONERS CLIMATE SMART MANGROVE CONSERVATION AND RESTORATION,Abby Keller,Alison Gerken
An introduction to decision science for conservation,Abby Keller,Manuel Duenas
Landscape Ecology Approaches to Wetland Restoration Decision Support: A Case study of the Yellow River Delta,Abby Keller,Charlotte Malmborg
Developing decision support systems for integrated coastal management in the tropics: Is the ICM decision-making environment too complex for the development of a useable and useful DSS?,Kaila Frazer,Chris Jones
Using Internet multimedia database information systems for decision support in conservation planning,Abby Keller,Charlotte Malmborg
Geographic information system-based decision support for soil conservation planning in Tajikistan,alexis ocallahan,Abby Keller
Decision support system based on database system of genetic resources for Central Kalimantan local crops to develop ex situ and in situ conservation,Yishen Li,Abby Keller
Modeling enrollment in the Conservation Reserve Program by using agents within spatial decision support systems: an example from southern Illinois,Chris Jones,Abby Keller
Evaluating watershed-based optimized decision support framework for conservation practice placement in Plum Creek Minnesota,alexis ocallahan,Abby Keller
INTEGRATING A GIS AND REMOTE SENSING APPROACH IN THE AGRICULTURAL CONSERVATION DECISION SUPPORT TOOL FOR SOIL EROSION ESTIMATION,alexis ocallahan,Charlotte Malmborg
Decision support for managing conservation seed bank collections: comparing germination and viability,Abby Keller,alexis ocallahan
A decision support system for preventive conservation: From measurements towards decision making,Abby Keller,Manuel Duenas
Factors influencing the use of decision support tools in the development and design of conservation policy,Abby Keller,Manuel Duenas
DESIGN AND IMPLEMENTATION OF A USER INTERFACE FOR DECISION SUPPORT IN NATURAL-RESOURCE MANAGEMENT,Alison Gerken,Abby Keller
NATURAL-RESOURCE DECISION-SUPPORT - THEORY AND PRACTICE,Abby Keller,Manuel Duenas
An Optimal Control Module of Sustainable Natural Resources Consumption Control Synthesis for Decision Support Systems,Alison Gerken,Kaila Frazer
Development And Application Of A Bayesian Decision Support Tool To Assist In The Management Of An Endangered Species,Alison Gerken,Kaila Frazer
Optimizing cultivation of agricultural products using socio-economic and environmental scenarios,Judith Toms,Abby Keller
"Vulnerability and risk assessment mapping of Bhitarkanika national park, Odisha, India using machine-based embedded decision support system",Abby Keller,Charlotte Malmborg
From decision-making to Oceans Accounts: a case study,Manuel Duenas,Abby Keller
Trade-off and synergistic of ecosystem services supply and demand based on socio-ecological system (SES) in typical hilly regions of south China,Abby Keller,Kaila Frazer
Project Risk Screening Matrix for River Management and Restoration,Charlotte Malmborg,Abby Keller
Multiple attribute decision analysis for ecosystem management,Abby Keller,Charlotte Malmborg
Involve to improve: A participatory approach for a Decision Support System for coastal climate change impacts assessment. The North Adriatic case,Jody Peters,Abby Keller
"Texas Water Observatory: A Distributed Network for Monitoring Water, Energy, and Carbon Cycles under Variable Climate and Land Use on Gulf Coast Plains",Abby Keller,Jody Peters
Animal Feed Formulation-Connecting Technologies to Build a Resilient and Sustainable System,Abby Keller,Chris Jones
National Adaptation Geo-information System in climate adaptation planning,Abby Keller,Charlotte Malmborg
Prospects for improving savanna biophysical models by using multiple-constraints model-data assimilation methods,Abby Keller,Chris Jones
Development of a chemical source apportionment decision support framework for lake catchment management,Abby Keller,Charlotte Malmborg
ESSIMAGE: a tool for the assessment of the agroecological performance of agricultural production systems,Abby Keller,Jody Peters
Optimising decision support tools for the agricultural sector,Abby Keller,Jody Peters
EVALUATION AND COMPARISON OF DPSIR FRAMEWORK AND THE COMBINED SWOT - DPSIR ANALYSIS (CSDA) APPROACH: TOWARDS EMBRACING COMPLEXITY,Judith Toms,Charlotte Malmborg
Examining the role of sustainability metrics in advancing sustainable construction project management,Abby Keller,Amy Kendig
The use of multiobjective decision making for resolution of resource use and environmental management conflicts at a catchment scale,Charlotte Malmborg,Yishen Li
Improving Horse Welfare and Environmental Sustainability in Horse Husbandry: Linkage between Turnout and Nitrogen Surplus,Abby Keller,Alison Gerken
Remote sensing and GIS based information system for sustainable resources planning at Panchayat level,Abby Keller,Charlotte Malmborg
A new interval meta-goal programming for sustainable planning of agricultural water-land use nexus,Abby Keller,Kaila Frazer
An analytic-geospatial approach for sustainable water resource management: a case study in the province of Perugia,Abby Keller,Alison Gerken
Can local policy options reverse the decline process of small and marginalized rural areas influenced by global change?,Abby Keller,Snigdha Nautiyal
Choice and development of decision support tools for the sustainable management of deer-forest systems,Abby Keller,Alison Gerken
Assessing risks and uncertainties in forest dynamics under different management scenarios and climate change,Jody Peters,Abby Keller
Ecosystem management decision support for federal forests in the United States: A review,Abby Keller,Amy Kendig
Multiple criteria land use analysis,Abby Keller,Alison Gerken
Managing cattle grazing under degraded forests: An optimal control approach,Abby Keller,Kaila Frazer
The Application of WebGIS Tools for Visualizing Coastal Flooding Vulnerability and Planning for Resiliency: The New Jersey Experience,Abby Keller,Jody Peters
A linked land-sea modeling framework to inform ridge-to-reef management in high oceanic islands,Abby Keller,Maya Zomer
"Assessing agricultural systems vulnerability to climate change to inform adaptation planning: an application in Khorezm, Uzbekistan",Abby Keller,Alison Gerken
Spatial characterization of surface water vulnerability to diffuse pollution related to pesticide contamination: case of the Gimone watershed in France,Abby Keller,Charlotte Malmborg
A conceptual tool for improving rangeland management decision-making at grassroots level: the local-level monitoring approach,Abby Keller,Alison Gerken
"An integrated decision support system for the urban food-water-energy nexus: Methodology, modification, and model formulation",Abby Keller,Alison Gerken
A web-based GIS decision support system for managing and planning USDA's Conservation Reserve Program (CRP),Abby Keller,Alison Gerken
Towards sustainable settlement growth: A new multi-criteria assessment for implementing environmental targets into strategic urban planning,Abby Keller,Amy Kendig
"Insights on the Use of Decision-Support Tools to Sustain Forest Ecosystems from a Case Study in Pennsylvania, USA",Kaila Frazer,Maya Zomer
A fuzzy expert system for soil characterization,Abby Keller,Kaila Frazer
GENERATION OF OPTIMAL FIRE-LINE FOR FIGHTING WILDLAND FIRES USING GENETIC ALGORITHMS,Abby Keller,Amy Kendig
Ecosystem management at Fort A.P. Hill using a geographic information system-based decision support system,Abby Keller,Charlotte Malmborg
DECISION-ANALYSIS APPROACH TO BRUSH MANAGEMENT PLANNING - RAMIFICATIONS FOR INTEGRATED RANGE RESOURCES MANAGEMENT,Abby Keller,Kaila Frazer
A Multi-objective Linear Programming Model with Interval Parameters for Water Resources Allocation in Dalian City,Abby Keller,Charlotte Malmborg
Multiobjective planning in the irrigation districts of Mexico.: A decision support system application,Abby Keller,Charlotte Malmborg
Spatio-Temporal Prediction of Groundwater Level and Quality using IoT Sensing and Hybrid Machine Learning Approaches,Abby Keller,Charlotte Malmborg
A comparison shopper's guide to forest datasets,Abby Keller,Amy Kendig
"Integrated valuation of alternative land use scenarios in the agricultural ecosystem of a watershed with limited available data, in the Pampas region of Argentina",Charlotte Malmborg,Abby Keller
A Decision Support Tool for Stakeholder Involvement in Sustainable Water Resource Development,Abby Keller,Kaila Frazer
A knowledge-based reasoning toolkit for forest resource management,Abby Keller,Alison Gerken
Selection and sustainability of land and water resource management systems,Yishen Li,Abby Keller
Sustainable Land Use and Watershed Management in Response to Climate Change Impacts: Overview and Proposed Research Techniques,Abby Keller,Charlotte Malmborg
Ecological environment sustainable development evaluation for river basins: methodology and modeling,Abby Keller,Maya Zomer
Combining participatory modeling and multi-criteria analysis for community-based forest management,Alison Gerken,Abby Keller
"Integrating technical, economic and cultural impacts in a decision support tool for energy resource management in the Navajo Nation",Abby Keller,Alison Gerken
Applying voting theory in participatory decision support for sustainable timber harvesting,Abby Keller,Alison Gerken
A Real-Time Risk Assessment Tool Supporting Wildland Fire Decisionmaking,Alison Gerken,Abby Keller
"Wetlands shrink simulation using Cellular Automata: a case study in Sanjiang Plain, China",Abby Keller,Gerbrand Koren
Incorporating adaptation and resilience into an integrated watershed and coral reef management plan,Abby Keller,Jody Peters
Experience of model integration and Pareto frontier visualization in the search for preferable water quality strategies,Abby Keller,Alison Gerken
Enhancing Environmental Monitoring with Landsat 8-9: Multispectral Band Combinations and Intensity-Hue-Saturation (IHS) Fusion Approaches,Abby Keller,Charlotte Malmborg
Application of geospatial technologies for environmental impact assessment: an Indian Scenario,Abby Keller,Alison Gerken
Mesta: An internet-based decision-support application for participatory strategic-level natural resources planning,Abby Keller,Kaila Frazer
An eastern spruce budworm hazard rating system for the forests of northern Ontario,Abby Keller,Alison Gerken
"The development and implementation of forest fire management decision support systems in Ontario, Canada",Abby Keller,Amy Kendig
"Science, citizens, and catchments: Decision support for catchment planning in Australia",Abby Keller,Jody Peters
A systems approach to the evaluation of natural resource management initiatives,Abby Keller,Charlotte Malmborg
Building Robust Long-Term Conservation Monitoring With Design Thinking,Abby Keller,Alison Gerken
The Primary Goals of DSS in Coastal Zone Management,Abby Keller,Amy Kendig
Decision support system for tourism development: System dynamics approach,Abby Keller,Jody Peters
VEB-econ: An Outreach Tool for Designing Vegetative Environmental Buffers,Abby Keller,Alison Gerken
Environmental application of the feasible goals method: Screening of water quality improvement strategies,Abby Keller,Chris Jones
A conceptual architecture for AI-assisted Digital Twins in natural resource management,Abby Keller,Charlotte Malmborg
Landscape Risk Assessment Model and Decision Support System for the Protection of the Natural and Cultural Heritage in the Eastern Mediterranean Area,Abby Keller,Charlotte Malmborg
An internet-based decision support tool for non-industrial private forest landowners,Abby Keller,Cassie Speakman
On the constraints in optimal managing of natural resources systems,Abby Keller,Alison Gerken
Integrated spatial technologies for environmental and natural resource management: An assessment of progress and future directions,Alison Gerken,Abby Keller
Elements of Geoinformation Support of Natural Resource Management System,Abby Keller,Yishen Li
